character,script_line,season,episode,begin,end,duration,episode_index,bad_words,is_male,is_character
Isabelle Mbamba,ah,1,1,1656400000,1665200000,8800000,19,0,0.0,1
Isabelle Mbamba,che succede,1,1,1732000000,1744400000,12400000,22,0,0.0,1
Aureliano Adami,porca di quella puttana ma ce li hai gli occhi,1,1,2348000000,2371200000,23200000,25,1,1.0,1
Aureliano Adami,lo vedi o no la gente che locali vuole frequentare,1,1,2377600000,2399200000,21600000,26,0,1.0,1
Aureliano Adami,su quel chiosco ci butti due spicci e si riempie,1,1,2400000000,2424400000,24400000,27,0,1.0,1
Aureliano Adami,un certo tipo di clientela oltre a mangiare e bere vuole pippare,1,1,2425200000,2452400000,27200000,28,0,1.0,1
Tullio Adami,livia senti questa che fa ridere questo vuole insegnarmi a fare i soldi,1,1,2459200000,2495600000,36400000,29,0,1.0,1
Aureliano Adami,quel posto non è tuo era di mamma,1,1,2496400000,2512800000,16400000,30,0,1.0,1
Tullio Adami,oh,1,1,2513600000,2524000000,10400000,31,0,1.0,1
Aureliano Adami,oh che,1,1,2524800000,2547200000,22400000,32,0,1.0,1
Tullio Adami,te l ho detto duemila volte,1,1,2524800000,2547200000,22400000,33,0,1.0,1
Tullio Adami,tua madre lasciala perdere,1,1,2548000000,2561200000,13200000,34,0,1.0,1
Livia Adami,papà,1,1,2562000000,2570400000,8400000,35,0,0.0,1
Tullio Adami,vedi se con te ragiona sto coglione,1,1,2603200000,2620400000,17200000,36,1,1.0,1
Livia Adami,pure te non insistere no lo sai che gli dà fastidio,1,1,2649600000,2675200000,25600000,37,0,0.0,1
Aureliano Adami,lasciami perdere,1,1,2676000000,2689200000,13200000,38,0,1.0,1
Aureliano Adami,zingaro ti devo dire una cosa,1,1,3028000000,3049200000,21200000,42,0,1.0,1
Boris,dimmi,1,1,3028000000,3049200000,21200000,43,0,1.0,1
Aureliano Adami,scusate,1,1,3050000000,3060000000,10000000,44,0,1.0,1
Aureliano Adami,volevo dirti che sei un pezzo di merda,1,1,3060800000,3076400000,15600000,45,1,1.0,1
Boris,pezzo di merda,1,1,3109600000,3121600000,12000000,47,1,1.0,1
Aureliano Adami,fate stare zitto sto cazzo di cane e sto parassita buttatelo a mare,1,1,3132800000,3171200000,38400000,48,1,1.0,1
