character,script_line,episode,begin,end,duration,episode_index,bad_words,is_male
Aureliano Adami,porca di quella puttana ma ce li hai gli occhi,1,2348000000,2371200000,23200000,25,1,1
Aureliano Adami,lo vedi o no la gente che locali vuole frequentare,1,2377600000,2399200000,21600000,26,0,1
Aureliano Adami,su quel chiosco ci butti due spicci e si riempie,1,2400000000,2424400000,24400000,27,0,1
Aureliano Adami,un certo tipo di clientela oltre a mangiare e bere vuole pippare,1,2425200000,2452400000,27200000,28,0,1
Aureliano Adami,quel posto non è tuo era di mamma,1,2496400000,2512800000,16400000,30,0,1
Aureliano Adami,oh che,1,2524800000,2547200000,22400000,32,0,1
Livia Adami,papà,1,2562000000,2570400000,8400000,35,0,0
Livia Adami,pure te non insistere no lo sai che gli dà fastidio,1,2649600000,2675200000,25600000,37,0,0
Aureliano Adami,lasciami perdere,1,2676000000,2689200000,13200000,38,0,1
Aureliano Adami,zingaro ti devo dire una cosa,1,3028000000,3049200000,21200000,42,0,1
Aureliano Adami,scusate,1,3050000000,3060000000,10000000,44,0,1
Aureliano Adami,volevo dirti che sei un pezzo di merda,1,3060800000,3076400000,15600000,45,1,1
Aureliano Adami,fate stare zitto sto cazzo di cane e sto parassita buttatelo a mare,1,3132800000,3171200000,38400000,48,1,1
Gabriele Marchilli,non ci posso credere guarda chi ci sta,1,3312400000,3350800000,38400000,50,0,1
Gabriele Marchilli,sì che ti serve,1,3627600000,3656800000,29200000,56,0,1
Gabriele Marchilli,come 20 000 euro,1,4304000000,4318800000,14800000,71,0,1
Gabriele Marchilli,avrò venduto cinque piotte di pasticche che siete matti,1,4319600000,4346000000,26400000,72,0,1
Gabriele Marchilli,sì,1,4446000000,4454800000,8800000,77,0,1
Manfredi Anacleti,adesso sei tu lo sposo,1,4804000000,4822800000,18800000,81,0,1
Manfredi Anacleti,onora il cognome che porti e le nostre tradizioni,1,4828400000,4861600000,33200000,82,0,1
Manfredi Anacleti,avanti,1,4883200000,4894800000,11600000,83,0,1
Manfredi Anacleti,avanti spadi,1,4903600000,4918400000,14800000,84,0,1
Manfredi Anacleti,avanti,1,4928800000,4938000000,9200000,85,0,1
Manfredi Anacleti,avanti spadi,1,4957200000,4971200000,14000000,86,0,1
Manfredi Anacleti,ammazza sta bestia spadi,1,5004800000,5025200000,20400000,87,0,1
Manfredi Anacleti,avanti levati,1,5050400000,5068800000,18400000,88,0,1
Manfredi Anacleti,ammazzala,1,5091600000,5100800000,9200000,89,0,1
Manfredi Anacleti,ammazzala spadi ammazzala,1,5125599999,5152400000,26800001,90,0,1
Manfredi Anacleti,fa l uomo,1,5167600000,5187999999,20399999,91,0,1
Manfredi Anacleti,ammazzala,1,5199199999,5212400000,13200001,92,0,1
Manfredi Anacleti,ci voleva tanto,1,5312800000,5332000000,19200000,94,0,1
Alberto Anacleti,è che non mi volevo sporcare,1,5332800000,5354000000,21200000,95,0,1
Manfredi Anacleti,mo puoi conoscere la sposa,1,5414800000,5433200000,18400000,97,0,1
Samurai Valerio,quindi,1,5585200000,5594000000,8800000,102,0,1
Samurai Valerio,ti pago per risolvere i problemi,1,5669600000,5698000000,28400000,106,0,1
Samurai Valerio,chi,1,5844000000,5862800000,18800000,112,0,1
Samurai Valerio,che c è,1,5983600000,6006400000,22800000,117,0,1
Samurai Valerio,va bene france mi pare che si è scaricato,1,6032400000,6056400000,24000000,119,0,1
Sara Monaschi,d accordo,1,6204800000,6214800000,10000000,125,0,0
Sara Monaschi,la commissione è spaccata e l altro consorzio è in mano alla maggioranza,1,6218800000,6252800000,34000000,126,0,0
