character,script_line,season,episode,begin,end,duration,episode_index,bad_words,is_male,is_character
Isabelle Mbamba,ah,1,1,1656400000,1665200000,8800000.0,19,0,0,1
Isabelle Mbamba,che succede,1,1,1732000000,1744400000,12400000.0,22,0,0,1
Aureliano Adami,porca di quella puttana ma ce li hai gli occhi lo vedi o no la gente che locali vuole frequentare su quel chiosco ci butti due spicci e si riempie un certo tipo di clientela oltre a mangiare e bere vuole pippare,1,1,2348000000,2452400000,96400000.0,28,1,1,1
Tullio Adami,livia senti questa che fa ridere questo vuole insegnarmi a fare i soldi,1,1,2459200000,2495600000,36400000.0,29,0,1,1
Aureliano Adami,quel posto non è tuo era di mamma,1,1,2496400000,2512800000,16400000.0,30,0,1,1
Tullio Adami,oh,1,1,2513600000,2524000000,10400000.0,31,0,1,1
Aureliano Adami,oh che,1,1,2524800000,2547200000,22400000.0,32,0,1,1
Tullio Adami,te l ho detto duemila volte,1,1,2524800000,2547200000,22400000.0,33,0,1,1
Tullio Adami,tua madre lasciala perdere,1,1,2548000000,2561200000,13200000.0,34,0,1,1
Livia Adami,papà,1,1,2562000000,2570400000,8400000.0,35,0,0,1
Tullio Adami,vedi se con te ragiona sto coglione,1,1,2603200000,2620400000,17200000.0,36,1,1,1
Livia Adami,pure te non insistere no lo sai che gli dà fastidio,1,1,2649600000,2675200000,25600000.0,37,0,0,1
Aureliano Adami,lasciami perdere,1,1,2676000000,2689200000,13200000.0,38,0,1,1
Aureliano Adami,zingaro ti devo dire una cosa,1,1,3028000000,3049200000,21200000.0,42,0,1,1
Boris,dimmi,1,1,3028000000,3049200000,21200000.0,43,0,1,1
Aureliano Adami,scusate volevo dirti che sei un pezzo di merda,1,1,3050000000,3076400000,25600000.0,45,1,1,1
Boris,pezzo di merda,1,1,3109600000,3121600000,12000000.0,47,1,1,1
Aureliano Adami,fate stare zitto sto cazzo di cane e sto parassita buttatelo a mare,1,1,3132800000,3171200000,38400000.0,48,1,1,1
Gabriele Marchilli,non ci posso credere guarda chi ci sta,1,1,3312400000,3350800000,38400000.0,50,0,1,1
Gabriele Marchilli,sì che ti serve,1,1,3627600000,3656800000,29200000.0,56,0,1,1
Saverio Boiardo Guerri,lo sai chi sono io sì,1,1,3854000000,3866000000,12000000.0,58,0,1,1
Saverio Boiardo Guerri,meno male così evitiamo le presentazioni e arriviamo subito al dunque,1,1,3883200000,3918800000,35600000.0,59,0,1,1
Saverio Boiardo Guerri,facciamo due passi vieni,1,1,3928400000,3940400000,12000000.0,60,0,1,1
Saverio Boiardo Guerri,sai che c è tu sei un bravo ragazzo intelligente caruccio,1,1,3958000000,3996000000,38000000.0,61,0,1,1
Saverio Boiardo Guerri,però hai fatto una cosa che non dovevi fare,1,1,3996800000,4021200000,24400000.0,62,0,1,1
Saverio Boiardo Guerri,ti sei messo a spacciare le pasticche tue nella palestra di samurai,1,1,4027600000,4057600000,30000000.0,63,0,1,1
Saverio Boiardo Guerri,ma che ti dice sta capoccia,1,1,4069200000,4083200000,14000000.0,64,0,1,1
Saverio Boiardo Guerri,mannaggia a te,1,1,4094400000,4108400000,14000000.0,65,1,1,1
Saverio Boiardo Guerri,mo lui lo sai com è no c è rimasto male,1,1,4152800000,4179200000,26400000.0,66,0,1,1
Saverio Boiardo Guerri,anzi s è proprio incazzato,1,1,4180000000,4197200000,17200000.0,67,1,1,1
Saverio Boiardo Guerri,pensa che voleva i soldi del danno più gli interessi,1,1,4198000000,4226400000,28400000.0,68,0,1,1
Saverio Boiardo Guerri,ma siccome è una persona generosa,1,1,4234000000,4252000000,18000000.0,69,0,1,1
Saverio Boiardo Guerri,vuole solo 20 000 euro,1,1,4271600000,4287200000,15600000.0,70,0,1,1
Gabriele Marchilli,come 20 000 euro avrò venduto cinque piotte di pasticche che siete matti,1,1,4304000000,4346000000,41200000.0,72,0,1,1
Saverio Boiardo Guerri,come cazzo ti permetti eh,1,1,4380000000,4395600000,15600000.0,73,1,1,1
Saverio Boiardo Guerri,prima di tutto quando ti dico una cosa io stai muto,1,1,4396400000,4419600000,23200000.0,74,0,1,1
Saverio Boiardo Guerri,secondo hai 24 ore di tempo per portarmi i soldi,1,1,4420400000,4445200000,24800000.0,75,0,1,1
Saverio Boiardo Guerri,hai capito,1,1,4446000000,4454800000,8800000.0,76,0,1,1
Gabriele Marchilli,sì,1,1,4446000000,4454800000,8800000.0,77,0,1,1
Saverio Boiardo Guerri,oh hai capito,1,1,4460400000,4478400000,18000000.0,78,0,1,1
Saverio Boiardo Guerri,mo vatti a divertire forza,1,1,4486400000,4506800000,20400000.0,79,0,1,1
Saverio Boiardo Guerri,andiamo cla,1,1,4541200000,4553200000,12000000.0,80,0,1,1
Manfredi Anacleti,adesso sei tu lo sposo,1,1,4804000000,4822800000,18800000.0,81,0,1,1
Manfredi Anacleti,onora il cognome che porti e le nostre tradizioni,1,1,4828400000,4861600000,33200000.0,82,0,1,1
Manfredi Anacleti,avanti,1,1,4883200000,4894800000,11600000.0,83,0,1,1
Manfredi Anacleti,avanti spadi,1,1,4903600000,4918400000,14800000.0,84,0,1,1
Manfredi Anacleti,avanti,1,1,4928800000,4938000000,9200000.0,85,0,1,1
Manfredi Anacleti,avanti spadi,1,1,4957200000,4971200000,14000000.0,86,0,1,1
Manfredi Anacleti,ammazza sta bestia spadi,1,1,5004800000,5025200000,20400000.0,87,0,1,1
Manfredi Anacleti,avanti levati,1,1,5050400000,5068800000,18400000.0,88,0,1,1
Manfredi Anacleti,ammazzala,1,1,5091600000,5100800000,9200000.0,89,0,1,1
Manfredi Anacleti,ammazzala spadi ammazzala,1,1,5125599999,5152400000,26800001.0,90,0,1,1
Manfredi Anacleti,fa l uomo,1,1,5167600000,5187999999,20399999.0,91,0,1,1
Manfredi Anacleti,ammazzala,1,1,5199199999,5212400000,13200001.0,92,0,1,1
Manfredi Anacleti,ci voleva tanto,1,1,5312800000,5332000000,19200000.0,94,0,1,1
Alberto Anacleti,è che non mi volevo sporcare,1,1,5332800000,5354000000,21200000.0,95,0,1,1
Manfredi Anacleti,mo puoi conoscere la sposa,1,1,5414800000,5433200000,18400000.0,97,0,1,1
Giacomo Finucci,il sindaco si dimette,1,1,5544000000,5558000000,14000000.0,100,0,1,1
Giacomo Finucci,e sto andando ora alla riunione del consiglio,1,1,5558800000,5584400000,25600000.0,101,0,1,1
Samurai Valerio,quindi,1,1,5585200000,5594000000,8800000.0,102,0,1,1
Giacomo Finucci,il piano regolatore è approvato ma per sapere chi ci si arricchirà sopra,1,1,5594800000,5632400000,37600000.0,103,0,1,1
